,age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,previous,y
0,18-30,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,2,0,no
1,30-40,services,single,high.school,no,no,no,telephone,may,fri,4,0,no
2,18-30,services,married,high.school,no,yes,no,telephone,jun,wed,1,0,no
3,30-40,services,married,basic.9y,no,unknown,unknown,telephone,jun,fri,3,0,no
4,40-50,admin.,married,university.degree,no,yes,no,cellular,nov,mon,1,0,no
5,30-40,services,single,university.degree,no,no,no,cellular,sep,thu,3,2,no
6,30-40,admin.,single,university.degree,no,yes,no,cellular,sep,mon,4,0,no
7,40-50,entrepreneur,married,university.degree,unknown,yes,no,cellular,nov,mon,2,0,no
8,30-40,services,divorced,professional.course,no,no,no,cellular,nov,tue,1,1,no
9,30-40,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,1,0,no
10,18-30,services,single,basic.6y,unknown,yes,no,cellular,jul,thu,1,0,no
11,30-40,self-employed,single,basic.4y,no,no,no,cellular,jul,thu,1,0,no
12,30-40,admin.,married,high.school,no,no,no,telephone,may,wed,2,0,no
13,40-50,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,2,0,no
14,18-30,admin.,single,high.school,no,no,no,cellular,may,fri,2,0,no
15,18-30,services,single,university.degree,no,no,no,cellular,jul,wed,2,0,no
16,40-50,admin.,divorced,university.degree,no,no,no,cellular,jul,wed,6,0,no
17,40-50,admin.,divorced,university.degree,no,yes,no,telephone,jul,mon,4,0,no
18,40-50,entrepreneur,married,university.degree,unknown,yes,yes,cellular,aug,mon,2,0,no
19,40-50,blue-collar,married,basic.4y,no,no,yes,cellular,jul,tue,1,0,yes
20,50+,services,married,basic.6y,unknown,yes,no,cellular,jul,tue,6,0,no
21,30-40,technician,divorced,high.school,no,no,no,cellular,mar,mon,1,2,yes
22,18-30,technician,single,university.degree,no,yes,yes,cellular,aug,wed,3,0,no
23,30-40,management,married,high.school,no,no,yes,cellular,aug,wed,1,0,no
24,40-50,technician,married,professional.course,unknown,yes,no,telephone,may,fri,7,0,no
25,30-40,technician,married,professional.course,no,yes,no,cellular,aug,mon,1,0,yes
26,30-40,technician,divorced,professional.course,no,no,no,telephone,may,wed,1,0,no
27,18-30,blue-collar,married,basic.6y,unknown,no,no,cellular,may,mon,2,1,no
28,40-50,admin.,single,unknown,unknown,no,no,telephone,may,thu,1,0,no
29,30-40,admin.,married,university.degree,no,no,no,cellular,aug,tue,1,0,no
30,30-40,technician,married,university.degree,no,yes,yes,cellular,mar,tue,1,1,no
31,30-40,services,married,high.school,unknown,yes,no,telephone,jun,mon,3,0,no
32,50+,technician,single,university.degree,no,no,no,cellular,jun,fri,2,0,no
33,18-30,blue-collar,single,basic.4y,unknown,yes,no,telephone,jun,tue,1,0,no
34,40-50,technician,married,university.degree,no,no,no,cellular,aug,thu,7,0,no
35,18-30,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,1,0,no
36,30-40,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,1,0,no
37,40-50,management,divorced,high.school,no,no,no,cellular,nov,wed,1,0,no
38,30-40,technician,single,unknown,no,yes,no,cellular,may,wed,1,1,no
39,18-30,student,single,unknown,no,no,no,cellular,oct,mon,3,3,no
40,30-40,services,married,high.school,unknown,yes,no,cellular,may,tue,1,0,no
41,30-40,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,jun,fri,1,0,no
42,50+,retired,married,university.degree,no,no,no,cellular,aug,thu,1,1,no
43,40-50,entrepreneur,divorced,professional.course,no,yes,no,cellular,jul,tue,3,0,no
44,30-40,housemaid,married,basic.4y,no,yes,yes,cellular,may,fri,1,0,no
45,30-40,management,single,university.degree,unknown,no,no,cellular,may,thu,2,0,no
46,30-40,admin.,married,university.degree,no,no,no,telephone,nov,thu,1,0,no
47,18-30,admin.,single,basic.9y,no,no,no,cellular,may,mon,2,0,no
